time_s,video_payload_mbps,rf_capacity_mbps,buffer_mb,latency_ms,drop_flag
8.28,31.8864437449423,43.9281293143033,3.4440332284233,632.249852412623,0
8.32,34.5851715537909,42.3601709761469,3.40690823131152,648.777789216034,0
8.36,35.5098874495798,38.1423057165976,3.39549613997643,718.769829062895,0
8.4,32.8565658080351,50.6375400383118,3.30834126882505,526.307911073729,0
8.44,33.4283076732123,34.029824481271,3.30708368478476,785.53466016399,0
8.48,32.9482113951516,40.168458585454,3.27273244883324,657.530716174694,0
8.52,38.9780496011648,37.2452304057039,3.28314654481055,711.885305218853,0
8.56,32.3918891507959,37.9969336816221,3.25687132215642,692.087456513635,0
8.6,37.7578498043984,42.2330669845791,3.23624523625551,618.148663744624,0
8.64,38.987671547653,42.2121125390325,3.22187303129862,615.711503483161,0
8.68,33.9279362977179,42.9120302877428,3.17870256134849,597.47197957592,0
8.72,38.4697896175901,47.8262301557296,3.1336703586578,528.040301157671,0
8.76,39.5368837906107,40.200831614913,3.13210061953628,628.764920100525,0
8.8,36.8450967761683,36.7624662239197,3.13426377229753,688.613345335801,0
8.84,41.1355127932122,42.3948230909176,3.129717220809,595.501084933345,0
8.88,37.4459606503815,48.9236086203692,3.07407898095906,506.296166708101,0
8.92,34.5680599905199,34.963226743618,3.07385314719357,710.44590438488,0
8.96,37.8128349827343,34.5879536266976,3.09172755397376,722.40942614349,0
9,38.8366237987741,42.5907637321119,3.07470685430707,582.320314813748,0
9.04,43.6216773068037,50.3430470466645,3.04285000560776,486.923712054199,0
9.08,42.4206955807805,31.1240629797753,3.10108316861279,806.15501973875,0
9.12,37.8914813891567,37.396587100274,3.1053076400572,670.573541719687,0
9.16,38.660122969027,37.6876026378914,3.11192024171288,666.763803106052,0
9.2,38.3163188399802,39.9404776996486,3.10554944741454,627.534625063058,0
9.24,39.1081223623163,35.4445960397846,3.1256170790272,712.501052978956,0
9.28,39.2285275695762,38.5162675600705,3.13092837907473,656.271326326979,0
9.32,42.5660207672061,46.4230672901136,3.11339314646019,540.60097659324,0
9.36,41.1512642929757,37.3552617766105,3.13412315904201,677.55189582752,0
9.4,39.1619164194648,35.8177096204441,3.15259419303712,711.090561364,0
9.44,38.8606455039809,38.4710224942702,3.15629230808567,662.373063799132,0
9.48,40.5026974486945,30.4171690262065,3.20846995019811,853.680623513738,0
9.52,40.0948156126777,28.7927317000878,3.26673036976106,918.823242213681,0
9.56,42.2877597463996,34.2778048499411,3.30853014424335,780.134207651009,0
9.6,42.5048397826082,34.762361817128,3.34899253407076,778.555695041859,0
9.64,39.1439414629851,43.9947342364568,3.3264885702034,609.739273870937,0
9.68,38.6474145427426,38.2745606528879,3.33010283965267,702.468855501235,0
9.72,38.9766114564975,41.664382951774,3.31841398217629,642.568276728199,0
9.76,41.2521074004765,41.7932587335795,3.31745822551077,640.385592617077,0
9.8,35.3126457583489,37.4378097363745,3.30858240562064,713.67544843193,0
9.84,37.911345338064,42.5577657060462,3.28710030378073,623.032325695433,0
9.88,34.5629964266413,27.6275215986462,3.32352767792071,974.730102484283,0
9.92,38.3078054412785,37.4847139840069,3.32939313520707,717.257310588893,0
9.96,35.7130483587309,28.506603885845,3.3671753575715,956.699286951794,0
10,37.8105689960068,45.7996365568543,3.32898001976726,585.963765074855,0
10.04,35.3984574977567,36.0885354269711,3.32727963012119,744.804920597874,0
10.08,34.46357332345,32.6813782360928,3.33794060555797,825.932153261984,0
10.12,33.1109669120323,36.9408073874527,3.32054140318087,725.983740783925,0
10.16,35.7718629109447,34.6159503152315,3.32807096615944,776.997791812028,0
10.2,33.4008685827477,33.6631861801894,3.32850937817223,799.325374683404,0
10.24,31.5923938227181,30.8523159092363,3.33395976773964,874.414854966495,0
10.28,34.5384659887977,32.0078833487806,3.34836268093972,846.136842201409,0
10.32,30.7256556617813,30.3170179124379,3.35215586968644,894.892078879861,0
10.36,35.6900707679615,34.0782266395555,3.36196509032847,797.424691492236,0
10.4,28.980459849416,30.5810754716152,3.35571201221748,888.016574962607,0
10.44,35.0153462629077,28.54668723352,3.38980530736441,961.75987747515,0
10.48,31.2183128917715,28.4417085375569,3.40543832913549,969.805969496693,0
10.52,31.1333588070399,33.0056109311927,3.39782706851472,832.40263381975,0
10.56,30.5868344136632,25.527335444312,3.42487456336148,1088.24051566115,0
10.6,31.7936584462291,34.7571915421826,3.41180689788171,793.277624812569,0
10.64,31.7115344385742,28.7186984181404,3.42852107798388,966.84621266699,0
10.68,34.6767246873871,31.2415712256642,3.4474468452925,892.786403154116,0
10.72,32.863972187669,37.4262463822458,3.42638547431961,739.316583236509,0
10.76,31.4941880986882,39.0160687124212,3.39052607125095,701.499000887415,0
10.8,33.0965623848909,34.9201118984603,3.3831583236831,782.909429653025,0
10.84,36.8526483217863,27.7360206542667,3.4304914620207,1002.11462054418,0
10.88,32.2863418711429,32.4476755843143,3.43143479345484,855.248171336554,0
10.92,31.7149543759024,32.1330983274772,3.43109407369697,863.627337610621,0
10.96,34.8724393604238,38.8124919183435,3.41314381090737,709.916313930678,0
11,32.8453076382352,33.3600669861948,3.41232001416757,826.976816640728,0
11.04,36.6206212238059,34.6958278375823,3.42369398109869,797.463726258448,0
11.08,30.4898099996746,32.5843474934559,3.41497129362978,847.536012775956,0
11.12,36.2038069459792,28.4591791896636,3.45544443241136,983.435171577548,0
11.16,34.5218781786989,31.6685884025538,3.47146088129209,886.747726090748,0
11.2,35.3003830385321,25,3.52471279648475,1143.92301711473,0
11.24,35.8168018491165,25,3.58054680573033,1162.04358806664,0
11.28,31.8670145990657,29.4202839390116,3.5945304590306,989.197206761872,0
11.32,37.3417003227222,31.9086551792251,3.62344568474808,918.529807856547,0
11.36,33.5314501022359,33.3043378186291,3.62633124616612,880.328718149183,0
